     ITIME    Time(Hours)   RES_H         RES_U         RES_V         N_Wet_Cells   Net_FlowFLux_outofDomain(m3/s)
       100    5.5556E-02    6.6943E-02    4.6679E-06    7.9255E-06          3742    7.5939E+00
       200    1.1111E-01    6.4206E-02    6.9852E-06    8.7635E-06          3742    1.3764E+01
       300    1.6667E-01    6.6017E-02    3.4362E-06    6.4799E-06          3742    1.9294E+01
       400    2.2222E-01    6.3005E-02    3.1316E-06    6.0269E-06          3742    2.2307E+01
       500    2.7778E-01    6.2902E-02    4.5003E-06    6.2501E-06          3742    2.4405E+01
       600    3.3333E-01    6.2829E-02    5.9608E-06    6.8871E-06          3741    2.6054E+01
       700    3.8889E-01    6.2765E-02    6.9460E-06    7.9101E-06          3740    2.7341E+01
       800    4.4444E-01    8.3753E-02    8.7482E-06    8.8654E-06          3740    2.8379E+01
       900    5.0000E-01    6.2665E-02    8.6827E-06    9.3631E-06          3739    2.9081E+01
      1000    5.5556E-01    6.2661E-02    8.9360E-06    9.4502E-06          3738    2.9521E+01
      1100    6.1111E-01    6.2613E-02    9.3171E-06    9.6777E-06          3737    2.9760E+01
      1200    6.6667E-01    6.2621E-02    9.4965E-06    9.8932E-06          3735    2.9933E+01
