     Time(hour)   Conc_tot(ppm)     ERO_DEP(ft)       Pbed_1          Pbed_2          Pbed_3     
  5.55555556E-02  2.79429155E+01  1.91004159E-04  4.99939023E-01  3.00014403E-01  2.00046575E-01
  1.11111111E-01  2.77001863E+01  3.91215744E-04  4.99875662E-01  3.00028944E-01  2.00095394E-01
  1.66666667E-01  2.74864888E+01  5.88912102E-04  4.99813099E-01  3.00043301E-01  2.00143601E-01
  2.22222222E-01  2.73064987E+01  7.84299352E-04  4.99751273E-01  3.00057484E-01  2.00191244E-01
  2.77777778E-01  2.71445170E+01  9.77545037E-04  4.99690126E-01  3.00071509E-01  2.00238365E-01
  3.33333333E-01  2.70205687E+01  1.16891274E-03  4.99629582E-01  3.00085390E-01  2.00285028E-01
  3.88888889E-01  2.69324191E+01  1.35867181E-03  4.99569556E-01  3.00099145E-01  2.00331299E-01
  4.44444444E-01  2.68611540E+01  1.54694694E-03  4.99510003E-01  3.00112789E-01  2.00377208E-01
  5.00000000E-01  2.67980465E+01  1.73379526E-03  4.99450903E-01  3.00126327E-01  2.00422769E-01
  5.55555556E-01  2.67388545E+01  1.91924056E-03  4.99392249E-01  3.00139763E-01  2.00467989E-01
  6.11111111E-01  2.66819816E+01  2.10330451E-03  4.99334033E-01  3.00153097E-01  2.00512871E-01
  6.66666667E-01  2.66293958E+01  2.28601781E-03  4.99276245E-01  3.00166331E-01  2.00557424E-01
