time_hr,DS_BC_HT
0,36.5
0.042,36.5
0.083,36.5
0.125,36.5
0.167,36.5
0.208,36.5
0.25,36.5
0.292,36.5
0.333,36.5
0.375,36.5
0.417,36.5
0.458,36.5
0.5,36.5
0.542,36.5
0.583,36.5
0.625,36.5
0.667,36.5
0.708,36.5
0.75,36.5
0.792,36.5
0.833,36.5
0.875,36.5
0.917,36.5
0.958,36.5
1,37.248
1.042,38.057
1.083,38.294
1.125,38.402
1.167,38.443
1.208,38.45
1.25,38.44
1.292,38.422
1.333,38.398
1.375,38.369
1.417,38.332
1.458,38.288
1.5,38.237
1.542,38.186
1.583,38.133
1.625,38.077
1.667,38.027
1.708,37.963
1.75,37.912
1.792,37.868
1.833,37.838
1.875,37.782
1.917,37.715
1.958,37.613
2,37.553
2.042,37.512
2.083,37.49
2.125,37.459
2.167,37.43
2.208,37.395
2.25,37.367
2.292,37.368
2.333,37.339
2.375,37.293
2.417,37.255
2.458,37.221
2.5,37.199
2.542,37.185
2.583,37.151
2.625,37.133
2.667,37.115
2.708,37.086
2.75,37.07
2.792,37.042
2.833,37.015
2.875,36.989
2.917,36.97
2.958,36.944
3,36.925
,1.233
,1.25
,1.267
,1.283
,1.3
,1.317
,1.333
,1.35
,1.367
,1.383
,1.4
,1.417
,1.433
,1.45
,1.467
,1.5
