Flow,Water_Level
0,31.58
10.83434718,32.1
12.754014,32.156
14.84798581,32.212
17.09620574,32.268
19.48812449,32.324
22.01460248,32.38
24.70881707,32.437
27.48657095,32.493
30.38323306,32.549
33.39372214,32.605
36.51513014,32.661
39.74269946,32.717
43.07580413,32.773
46.50993419,32.829
50.09204212,32.886
53.72414065,32.942
57.45028716,32.998
61.27032342,33.054
65.18115789,33.11
69.18175955,33.166
73.27015251,33.222
77.50171233,33.279
81.76287818,33.335
86.10717912,33.391
90.53481811,33.447
95.04303432,33.503
99.63210037,33.559
104.32532,33.615
109.1410259,33.671
114.1278846,33.728
119.3564875,33.784
125.1417195,33.84
131.3990115,33.896
138.1268155,33.952
145.3296028,34.008
152.9788631,34.064
161.1479598,34.121
169.6994586,34.177
178.743992,34.233
188.3321139,34.289
198.4763921,34.345
209.2044078,34.401
220.5457545,34.457
232.5000376,34.513
245.2055677,34.57
258.5842817,34.626
272.7558084,34.682
287.7167958,34.738
303.4869014,34.794
320.0727917,34.85
337.4961416,34.906
355.8500861,34.963
374.9790681,35.019
395.0035777,35.075
415.951321,35.131
437.8390112,35.187
460.6523681,35.243
484.420118,35.299
509.1559935,35.355
534.9742936,35.412
561.7162571,35.468
589.4855741,35.524
618.325,35.58
648.2232951,35.636
679.2102248,35.692
711.2965592,35.748
744.5898647,35.805
778.9129242,35.861
814.3747224,35.917
851.0020472,35.973
888.8076908,36.029
927.784449,36.085
967.9721216,36.141
1009.356512,36.197
1052.064818,36.254
1095.951627,36.31
1141.120582,36.366
1187.5855,36.422
1235.383201,36.478
1284.44851,36.534
1334.743253,36.59
1386.371497,36.647
1439.105134,36.703
1493.066699,36.759
1548.231029,36.815
1604.568965,36.871
1662.098349,36.927
1720.786027,36.983
1780.622847,37.039
1841.701114,37.096
1903.827284,37.152
1967.07515,37.208
2031.478569,37.264
2097.025401,37.32
2163.689506,37.376
2231.481747,37.432
2300.505998,37.489
2370.526605,37.545
2441.665948,37.601
2513.915896,37.657
2661.826101,37.769
