inflow_time_hr,inflow_FC01,inflow_SA13,inflow_SA14,inflow_SA17,inflow_SA23,inflow_SA25
0,0,0.018,0.018,0.024,0.03,0.03
0.083,0.84,0.156,0.162,0.192,0.27,0.3
0.167,3.31,0.228,0.234,0.282,0.396,0.432
0.25,4.6,0.366,0.378,0.45,0.63,0.69
0.333,7.03,0.672,0.684,0.828,1.152,1.266
0.417,12.39,1.248,1.272,1.536,2.142,2.346
0.5,22.63,3.246,3.318,3.996,5.574,6.102
0.583,58.02,4.38,4.482,5.4,7.524,8.238
0.667,78.22,4.914,5.022,6.054,8.442,9.24
0.75,87.68,5.106,5.22,6.294,8.772,9.606
0.833,91.13,5.172,5.286,6.372,8.886,9.726
0.917,92.24,5.148,5.262,6.342,8.838,9.678
1,91.78,5.004,5.118,6.168,8.598,9.414
1.083,89.3,4.59,4.692,5.658,7.884,8.634
1.167,81.91,4.122,4.212,5.076,7.08,7.752
1.25,73.66,3.498,3.576,4.308,6.012,6.582
1.333,62.57,2.85,2.91,3.51,4.89,5.358
1.417,51.03,2.292,2.346,2.826,3.936,4.314
1.5,41.16,1.8,1.836,2.214,3.09,3.384
1.583,32.4,1.548,1.584,1.908,2.664,2.916
1.667,28,1.248,1.272,1.536,2.142,2.346
1.75,22.63,1.134,1.158,1.392,1.944,2.13
1.833,20.6,1.044,1.062,1.284,1.788,1.956
1.917,18.93,0.972,0.996,1.2,1.668,1.83
2,17.72,0.852,0.876,1.05,1.47,1.608
2.083,15.64,0.69,0.708,0.852,1.188,1.302
2.167,12.76,0.648,0.66,0.792,1.11,1.212
2.25,11.95,0.576,0.588,0.708,0.984,1.08
2.333,10.68,0.528,0.54,0.648,0.906,0.99
2.417,9.87,0.456,0.468,0.564,0.786,0.864
2.5,8.66,0.39,0.402,0.48,0.672,0.732
2.583,7.39,0.342,0.354,0.426,0.594,0.648
2.667,6.58,0.276,0.282,0.342,0.474,0.522
2.75,5.37,0.198,0.204,0.246,0.342,0.378
2.833,4.05,0.138,0.138,0.168,0.234,0.252
2.917,2.89,0.096,0.096,0.114,0.162,0.174
3,2.18,0.084,0.084,0.102,0.144,0.156
3.083,1.96,0.072,0.072,0.09,0.12,0.132
3.167,1.77,0.066,0.066,0.078,0.108,0.12
3.25,1.6,0.054,0.054,0.066,0.09,0.096
3.333,1.45,0.072,0.072,0.09,0.126,0.138
