,m^3/s,mm vs time
inflow_time_hr,inflow_FC01,inflow_RF
0,0,0
0.083,0.84,22.8
0.167,3.31,23.04
0.25,4.6,22.92
0.333,7.03,22.32
0.417,12.39,20.52
0.5,22.63,18.36
0.583,58.02,15.6
0.667,78.22,12.72
0.75,87.68,10.32
0.833,91.13,8.04
0.917,92.24,6.96
1,91.78,5.64
1.083,89.3,5.16
1.167,81.91,4.68
1.25,73.66,4.44
1.333,62.57,3.96
1.417,51.03,3.24
1.5,41.16,3
1.583,32.4,2.64
1.667,28,2.52
1.75,22.63,2.16
1.833,20.6,1.8
1.917,18.93,1.68
2,17.72,1.32
2.083,15.64,0.96
2.167,12.76,0.72
2.25,11.95,0.48
2.333,10.68,0.48
2.417,9.87,0.48
2.5,8.66,0.36
2.583,7.39,0.36
2.667,6.58,0.36
2.75,5.37,0.36
2.833,4.05,0.36
2.917,2.89,0.36
3,2.18,0.36
3.083,1.96,0.36
3.167,1.77,0.36
3.25,1.6,0.36
3.333,1.45,0.36
