inflow_time_hr,inflow_FC01,inflow_FC04,inflow_FC02
0,0,0,0
0.08,0.84,0.12,0.08
0.17,3.31,0.49,0.32
0.25,4.6,0.68,0.44
0.33,7.03,1.04,0.68
0.42,12.39,1.84,1.19
0.5,22.63,3.35,2.18
0.58,58.02,8.6,5.59
0.67,78.22,11.59,7.53
0.75,87.68,12.99,8.44
0.83,91.13,13.5,8.78
0.92,92.24,13.67,8.88
1,91.78,13.6,8.84
1.08,89.3,13.23,8.6
1.17,81.91,12.14,7.89
1.25,73.66,10.91,7.09
1.33,62.57,9.27,6.03
1.42,51.03,7.56,4.91
1.5,41.16,6.1,3.96
1.58,32.4,4.8,3.12
1.67,28,4.15,2.7
1.75,22.63,3.35,2.18
1.83,20.6,3.05,1.98
1.92,18.93,2.81,1.82
2,17.72,2.63,1.71
2.08,15.64,2.32,1.51
2.17,12.76,1.89,1.23
2.25,11.95,1.77,1.15
2.33,10.68,1.58,1.03
2.42,9.87,1.46,0.95
2.5,8.66,1.28,0.83
2.58,7.39,1.1,0.71
2.67,6.58,0.98,0.63
2.75,5.37,0.8,0.52
2.83,4.05,0.6,0.39
2.92,2.89,0.43,0.28
3,2.18,0.32,0.21
3.08,1.96,0.29,0.19
3.17,1.77,0.26,0.17
3.25,1.6,0.24,0.15
3.33,1.45,0.21,0.14
