Simulation Time,1D (%),2D (%),Other (%)
         0.0000,     0,     0,      100
         0.0833,     1,    74,       25
         0.1667,     1,    75,       24
         0.2500,     1,    76,       24
         0.3333,     1,    76,       23
         0.4167,     1,    76,       23
         0.5000,     1,    77,       23
         0.5833,     1,    77,       23
         0.6667,     1,    77,       22
         0.7500,     1,    78,       21
         0.8333,     1,    79,       20
         0.9167,     0,    80,       20
         1.0000,     0,    81,       19
         1.0833,     0,    81,       18
         1.1667,     0,    82,       18
         1.2500,     0,    82,       17
         1.3333,     0,    82,       17
         1.4167,     0,    83,       17
         1.5000,     0,    83,       17
         1.5833,     0,    83,       16
         1.6667,     0,    83,       16
         1.7500,     0,    83,       16
         1.8333,     0,    84,       16
         1.9167,     0,    84,       16
         2.0000,     0,    67,       32
         2.0833,     0,    68,       32
         2.1667,     0,    69,       31
         2.2500,     0,    69,       31
         2.3333,     0,    70,       30
         2.4167,     0,    70,       30
         2.5000,     0,    70,       29
         2.5833,     0,    71,       29
         2.6667,     0,    71,       28
         2.7500,     0,    72,       28
         2.8333,     0,    72,       28
         2.9167,     0,    72,       28
         3.0000,     0,    72,       27
