Simulation Time,1D (%),2D (%),Other (%)
         0.0000,     0,     0,      100
         0.0833,     1,    74,       25
         0.1667,     1,    76,       24
         0.2500,     1,    76,       23
         0.3333,     1,    77,       23
         0.4167,     1,    77,       22
         0.5000,     1,    76,       23
         0.5833,     1,    77,       23
         0.6667,     1,    77,       23
         0.7500,     1,    77,       23
         0.8333,     1,    77,       22
         0.9167,     1,    77,       23
         1.0000,     1,    77,       22
         1.0833,     1,    78,       22
         1.1667,     1,    79,       21
         1.2500,     1,    79,       20
         1.3333,     0,    80,       19
         1.4167,     0,    81,       19
         1.5000,     0,    82,       18
         1.5833,     0,    82,       17
         1.6667,     0,    82,       17
         1.7500,     0,    83,       17
         1.8333,     0,    83,       17
         1.9167,     0,    83,       16
         2.0000,     0,    83,       16
         2.0833,     0,    84,       16
         2.1667,     0,    84,       16
         2.2500,     0,    84,       15
         2.3333,     0,    84,       15
         2.4167,     0,    84,       15
         2.5000,     0,    85,       15
         2.5833,     0,    85,       15
         2.6667,     0,    85,       15
         2.7500,     0,    85,       15
         2.8333,     0,    85,       15
         2.9167,     0,    85,       14
         3.0000,     0,    85,       14
         3.0833,     0,    85,       14
         3.1667,     0,    85,       14
         3.2500,     0,    85,       14
         3.3333,     0,    85,       14
         3.4167,     0,    86,       14
         3.5000,     0,    86,       14
         3.5833,     0,    86,       14
         3.6667,     0,    86,       14
         3.7500,     0,    86,       14
         3.8333,     0,    86,       14
         3.9167,     0,    86,       14
         4.0000,     0,    86,       14
         4.0833,     0,    86,       14
         4.1667,     0,    86,       14
         4.2500,     0,    86,       14
         4.3333,     0,    86,       14
         4.4167,     0,    86,       14
         4.5000,     0,    86,       14
         4.5833,     0,    86,       14
         4.6667,     0,    86,       14
         4.7500,     0,    86,       14
         4.8333,     0,    86,       14
         4.9167,     0,    86,       14
         5.0000,     0,    86,       14
