Simulation Time,1D (%),2D (%),Other (%)
         0.0000,     0,     0,      100
         0.0833,     1,    68,       32
         0.1667,     1,    68,       31
         0.2500,     1,    70,       30
         0.3333,     1,    71,       29
         0.4167,     1,    71,       28
         0.5000,     1,    72,       28
         0.5833,     1,    71,       28
         0.6667,     1,    72,       27
         0.7500,     1,    74,       25
         0.8333,     0,    76,       24
         0.9167,     0,    77,       23
         1.0000,     0,    78,       22
         1.0833,     0,    79,       21
         1.1667,     0,    80,       20
         1.2500,     0,    81,       19
         1.3333,     0,    81,       19
         1.4167,     0,    81,       18
         1.5000,     0,    82,       18
         1.5833,     0,    82,       18
         1.6667,     0,    82,       17
         1.7500,     0,    82,       17
         1.8333,     0,    83,       17
         1.9167,     0,    83,       17
         2.0000,     0,    83,       17
         2.0833,     0,    83,       17
         2.1667,     0,    83,       17
         2.2500,     0,    83,       17
         2.3333,     0,    83,       17
         2.4167,     0,    83,       17
         2.5000,     0,    83,       17
         2.5833,     0,    83,       17
         2.6667,     0,    83,       17
         2.7500,     0,    83,       16
         2.8333,     0,    83,       16
         2.9167,     0,    83,       16
         3.0000,     0,    83,       16
