Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Found 2D domains                                  ,      0.20,      0.20
Start 2D BC Array Sizes Domain_001                ,      0.24,      0.04
End 2D BC Array Sizes Domain_001                  ,      0.26,      0.02
Start Estry Setup s0                              ,      0.26,      0.00
End Estry Setup s0                                ,      0.26,      0.00
Start Estry Setup s1                              ,      0.27,      0.01
Estry Setup EC (Weir) Initialise                  ,      0.27,      0.00
End Estry Setup s1                                ,      0.28,      0.01
Start TUFLOW Setup s2                             ,      0.28,      0.00
End TUFLOW Setup s2                               ,      0.45,      0.18
Reading Geometry File Domain_001                  ,      0.52,      0.06
Start Read Read GIS Code                          ,      0.52,      0.00
End Read Read GIS Code                            ,      0.54,      0.02
Start Read Grid Read GRID Zpts                    ,      0.55,      0.01
End Read Grid Read GRID Zpts                      ,      0.56,      0.01
Start Read Read GIS Mat                           ,      0.57,      0.01
End Read Read GIS Mat                             ,      0.61,      0.05
Finished Reading Geometry File Domain_001         ,      0.62,      0.00
Start Read input file (stage 2) Domain_001        ,      0.62,      0.00
End Read input file (stage 2) Domain_001          ,      0.63,      0.01
Identifying cells within user defined output zones,      0.63,      0.00
Finished Identifying cells within user defined out,      0.63,      0.00
Setting instability water levels Domain_001       ,      0.63,      0.00
Finished Setting instability water levels Domain_0,      0.63,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.63,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.63,      0.00
Start Reading Input File (Stage 3)                ,      0.63,      0.00
End Reading Input File (Stage 3)                  ,      0.67,      0.03
Reading Boundary File Domain_001                  ,      0.67,      0.00
Finished Reading Boundary File Domain_001         ,      0.75,      0.08
Initialising 2D Data (Stage 1) Domain_001         ,      0.75,      0.01
Finished Initialising 2D Data (Stage 1) Domain_001,      0.77,      0.02
Initialising 2D Data (Stage 2) Domain_001         ,      0.77,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.78,      0.01
Initialising any 2D2D link data Domain_001        ,      0.79,      0.01
Finished Initialising any 2D2D link data Domain_00,      0.79,      0.00
Start Writing _grd_check                          ,      0.90,      0.11
End Writing _grd_check                            ,      3.18,      2.28
Start Writing _zpt_check                          ,      3.18,      0.00
End Writing _zpt_check                            ,      8.63,      5.45
Start Writing _uvpt_check                         ,      8.63,      0.00
End Writing _uvpt_check                           ,     12.44,      3.81
Start Writing check DEMs                          ,     12.66,      0.22
Start Calculating grid interpolation factors      ,     12.66,      0.00
End Calculating grid interpolation factors        ,     12.68,      0.01
End Writing check DEMs                            ,     12.70,      0.02
Starting Simulation                               ,     12.71,      0.02
Summary File Close                                ,     12.71,      0.00
