Simulation Time,1D (%),2D (%),Other (%)
         0.0000,     0,     0,      100
         0.0833,     1,    76,       23
         0.1667,     1,    77,       22
         0.2500,     1,    77,       22
         0.3333,     1,    78,       22
         0.4167,     1,    78,       22
         0.5000,     1,    78,       22
         0.5833,     1,    78,       22
         0.6667,     1,    78,       21
         0.7500,     1,    78,       21
         0.8333,     1,    78,       21
         0.9167,     1,    78,       21
         1.0000,     1,    79,       21
         1.0833,     1,    79,       20
         1.1667,     0,    80,       20
         1.2500,     0,    80,       19
         1.3333,     0,    81,       18
         1.4167,     0,    82,       18
         1.5000,     0,    82,       17
         1.5833,     0,    83,       17
         1.6667,     0,    83,       16
         1.7500,     0,    84,       16
         1.8333,     0,    84,       16
         1.9167,     0,    84,       16
         2.0000,     0,    84,       15
         2.0833,     0,    85,       15
         2.1667,     0,    85,       15
         2.2500,     0,    85,       15
         2.3333,     0,    85,       15
         2.4167,     0,    85,       14
         2.5000,     0,    85,       14
         2.5833,     0,    86,       14
         2.6667,     0,    86,       14
         2.7500,     0,    86,       14
         2.8333,     0,    86,       14
         2.9167,     0,    86,       14
         3.0000,     0,    86,       14
         3.0833,     0,    86,       14
         3.1667,     0,    86,       14
         3.2500,     0,    86,       14
         3.3333,     0,    86,       13
         3.4167,     0,    86,       13
         3.5000,     0,    86,       13
         3.5833,     0,    86,       13
         3.6667,     0,    86,       13
         3.7500,     0,    86,       13
         3.8333,     0,    86,       13
         3.9167,     0,    86,       13
         4.0000,     0,    86,       13
         4.0833,     0,    86,       13
         4.1667,     0,    86,       13
         4.2500,     0,    86,       13
         4.3333,     0,    86,       13
         4.4167,     0,    86,       13
         4.5000,     0,    86,       13
         4.5833,     0,    86,       13
         4.6667,     0,    86,       13
         4.7500,     0,    87,       13
         4.8333,     0,    87,       13
         4.9167,     0,    87,       13
         5.0000,     0,    87,       13
