Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Found 2D domains                                  ,      0.30,      0.30
Start 2D BC Array Sizes Domain_001                ,      0.34,      0.03
End 2D BC Array Sizes Domain_001                  ,      0.34,      0.01
Start Estry Setup s0                              ,      0.34,      0.00
End Estry Setup s0                                ,      0.34,      0.00
Start Estry Setup s1                              ,      0.35,      0.01
Estry Setup EC (Weir) Initialise                  ,      0.35,      0.00
End Estry Setup s1                                ,      0.36,      0.01
Start TUFLOW Setup s2                             ,      0.36,      0.00
End TUFLOW Setup s2                               ,      0.54,      0.18
Reading Geometry File Domain_001                  ,      0.60,      0.06
Start Read Read GIS Code                          ,      0.61,      0.00
End Read Read GIS Code                            ,      0.61,      0.01
Start Read Grid Read GRID Zpts                    ,      0.62,      0.00
End Read Grid Read GRID Zpts                      ,      0.62,      0.00
Start Read Read GIS Mat                           ,      0.63,      0.01
End Read Read GIS Mat                             ,      0.67,      0.04
Finished Reading Geometry File Domain_001         ,      0.67,      0.00
Start Read input file (stage 2) Domain_001        ,      0.67,      0.00
End Read input file (stage 2) Domain_001          ,      0.68,      0.01
Identifying cells within user defined output zones,      0.68,      0.00
Finished Identifying cells within user defined out,      0.68,      0.00
Setting instability water levels Domain_001       ,      0.68,      0.00
Finished Setting instability water levels Domain_0,      0.68,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.68,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.68,      0.00
Start Reading Input File (Stage 3)                ,      0.68,      0.00
End Reading Input File (Stage 3)                  ,      0.71,      0.03
Reading Boundary File Domain_001                  ,      0.71,      0.00
Finished Reading Boundary File Domain_001         ,      0.79,      0.08
Initialising 2D Data (Stage 1) Domain_001         ,      0.80,      0.01
Finished Initialising 2D Data (Stage 1) Domain_001,      0.82,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.82,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.83,      0.01
Initialising any 2D2D link data Domain_001        ,      0.84,      0.01
Finished Initialising any 2D2D link data Domain_00,      0.84,      0.00
Start Writing _grd_check                          ,      0.91,      0.07
End Writing _grd_check                            ,      3.32,      2.42
Start Writing _zpt_check                          ,      3.32,      0.00
End Writing _zpt_check                            ,      8.87,      5.55
Start Writing _uvpt_check                         ,      8.87,      0.00
End Writing _uvpt_check                           ,     12.60,      3.72
Start Writing check DEMs                          ,     12.82,      0.22
Start Calculating grid interpolation factors      ,     12.82,      0.00
End Calculating grid interpolation factors        ,     12.83,      0.01
End Writing check DEMs                            ,     12.85,      0.02
Starting Simulation                               ,     12.86,      0.01
Summary File Close                                ,     12.86,      0.00
